vin,customer_name,customer_contact,service_date,odometer_reading,complaint,diagnosis,recommended,service_performed,parts_used,labor_hours_billed,technician,invoice_total,make,model,year,created_at,shop_id
SYNTHVIN000262,Carlos Smith,-9200,1/19/2023 0:00,51327,check brakes - squeak,no fault found,Oil pan replacement,Warranty repair - no charge,Oil filter - FRAM PH2,0.51,Mike D.,787.79,Toyota,Camry,2019,8/4/2025 1:34,dev_shop_001
SYNTHVIN000263,John Martinez,-10834,2/11/2023 0:00,1731,AC not cold enough,suspected transmission issue,Cap inspection or replacement,Brake pad replacement,,3,Unassigned,149.13,Dodge,Ram 1500,2015,8/4/2025 1:34,dev_shop_001
SYNTHVIN000263,John Martinez,-10834,3/1/2023 0:00,14130,check brakes - squeak,bad starter relay,Cap inspection or replacement,Customer declined service,,6.44,Tina Brown,244.54,Dodge,Ram 1500,2015,8/4/2025 1:34,dev_shop_001
SYNTHVIN000264,Laura Johnson,-3832,6/28/2024 0:00,1731,oil leaking in driveway,bad starter relay,Head gasket replacement,Warranty repair - no charge,,4.83,Laura Smith,210.26,Jeep,Grand Cherokee,2014,8/4/2025 1:34,dev_shop_001
SYNTHVIN000264,Laura Johnson,-3832,12/7/2023 0:00,14130,strange grinding noise,likely spark plugs,Head gasket replacement,Spark plug replacement,SP-134A,4.13,Carlos Garcia,399.16,Honda,Civic,2014,8/4/2025 1:34,dev_shop_001
SYNTHVIN000264,Laura Johnson,-3832,9/4/2023 0:00,26529,steering wheel shakes bad,likely spark plugs,Head gasket replacement,Brake pad replacement,Transmission fluid,5.7,nan,879.37,Ford,Mustang,2024,8/4/2025 1:34,dev_shop_001
SYNTHVIN000264,Laura Johnson,-3832,7/9/2024 0:00,38928,engine light randomly comes on,low refrigerant,Head gasket replacement,Head gasket replacement,Transmission fluid,2.19,Tina Brown,330.34,Honda,Civic,2006,8/4/2025 1:34,dev_shop_001
SYNTHVIN000264,Laura Johnson,-3832,9/19/2024 0:00,51327,trans slipping after warm up,parasitic draw,Head gasket replacement,Tire balancing,O2-SENSOR-BOSCH,5.75,John Doe,301.52,Toyota,Camry,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000265,Laura Smith,-4457,11/8/2023 0:00,1731,steering wheel shakes bad,suspected transmission issue,Transmission fluid flush,Transmission fluid flush,,1.56,Tina Brown,101.14,Honda,Civic,2016,8/4/2025 1:34,dev_shop_001
SYNTHVIN000265,Laura Smith,-4457,8/19/2024 0:00,14130,strange grinding noise,suspected transmission issue,Transmission fluid flush,Spark plug replacement,,5.1,Laura Smith,221.62,Jeep,Grand Cherokee,2024,8/4/2025 1:34,dev_shop_001
SYNTHVIN000265,Laura Smith,-4457,4/23/2023 0:00,26529,car won't start after sitting overnight,parasitic draw,Transmission fluid flush,Head gasket replacement,,3.65,John Doe,376.29,Ford,Mustang,2016,8/4/2025 1:34,dev_shop_001
SYNTHVIN000265,Laura Smith,-4457,5/14/2025 0:00,38928,engine light randomly comes on,O2 sensor fault,Transmission fluid flush,Tire balancing,Transmission fluid,5.36,John Doe,321.52,VW,Jetta,2024,8/4/2025 1:34,dev_shop_001
SYNTHVIN000266,Laura Johnson,-3832,3/31/2023 0:00,1731,car won't start after sitting overnight,no fault found,Gasket replacement,Warranty repair - no charge,Battery NAPA-65,2.14,nan,902.47,VW,Jetta,2014,8/4/2025 1:34,dev_shop_001
SYNTHVIN000266,Laura Johnson,-3832,2/25/2025 0:00,14130,car won't start after sitting overnight,suspected transmission issue,Gasket replacement,Warranty repair - no charge,Transmission fluid,3.39,nan,52.29,Jeep,Grand Cherokee,2020,8/4/2025 1:34,dev_shop_001
SYNTHVIN000266,Laura Johnson,-3832,1/26/2025 0:00,26529,oil leaking in driveway,bad starter relay,Gasket replacement,Electrical diagnostic,Oil filter - FRAM PH2,3.85,Mike D.,325.26,Jeep,Grand Cherokee,2013,8/4/2025 1:34,dev_shop_001
SYNTHVIN000267,Jane Davis,-5252,10/28/2022 0:00,1731,check brakes - squeak,O2 sensor fault,Cap inspection or replacement,Brake pad replacement,,4.72,John Doe,1019.25,Toyota,Camry,2013,8/4/2025 1:34,dev_shop_001
SYNTHVIN000267,Jane Davis,-5252,5/24/2025 0:00,14130,engine light randomly comes on,bad starter relay,Cap inspection or replacement,Tire balancing,Brake pads - Wagner,2.12,Carlos Garcia,308.56,Toyota,Camry,2023,8/4/2025 1:34,dev_shop_001
SYNTHVIN000267,Jane Davis,-5252,8/30/2023 0:00,26529,oil leaking in driveway,low refrigerant,Cap inspection or replacement,Deferred,Brake pads - Wagner,5.36,Unassigned,1138,Honda,Civic,2012,8/4/2025 1:34,dev_shop_001
SYNTHVIN000267,Jane Davis,-5252,7/27/2024 0:00,38928,oil leaking in driveway,parasitic draw,Cap inspection or replacement,Brake pad replacement,Battery NAPA-65,4.25,Carlos Garcia,1053.03,Nissan,Altima,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000268,James Hodges,-8549,7/18/2023 0:00,1731,oil leaking in driveway,suspected transmission issue,Battery replacement,Tire balancing,,4.37,Carlos Garcia,800.16,Chevrolet,Silverado,2012,8/4/2025 1:34,dev_shop_001
SYNTHVIN000268,James Hodges,-8549,4/12/2025 0:00,14130,trans slipping after warm up,likely spark plugs,Battery replacement,Electrical diagnostic,SP-134A,2.9,Tina Brown,599.98,Dodge,Ram 1500,2022,8/4/2025 1:34,dev_shop_001
SYNTHVIN000269,John Smith,-9769,7/17/2023 0:00,1731,steering wheel shakes bad,unable to replicate,Oil pan gasket replacement,Spark plug replacement,Battery NAPA-65,3.66,Tina Brown,1028.41,Toyota,Camry,2006,8/4/2025 1:34,dev_shop_001
SYNTHVIN000269,John Smith,-9769,1/11/2025 0:00,14130,strange grinding noise,no fault found,Oil pan gasket replacement,Deferred,Alternator Duralast,1.27,Carlos Garcia,1194.11,Chevrolet,Silverado,2015,8/4/2025 1:34,dev_shop_001
SYNTHVIN000269,John Smith,-9769,5/6/2024 0:00,26529,trans slipping after warm up,suspected transmission issue,Oil pan gasket replacement,Customer declined service,,5.96,Tina Brown,932.24,VW,Jetta,2013,8/4/2025 1:34,dev_shop_001
SYNTHVIN000269,John Smith,-9769,2/23/2024 0:00,38928,battery keeps dying,parasitic draw,Oil pan gasket replacement,Spark plug replacement,SP-134A,3.59,Unassigned,175.45,Ford,Escape,2023,8/4/2025 1:34,dev_shop_001
SYNTHVIN000269,John Smith,-9769,4/25/2025 0:00,51327,oil leaking in driveway,suspected alternator issue,Oil pan gasket replacement,Head gasket replacement,Battery NAPA-65,0.65,Laura Smith,1001.08,Chevrolet,Silverado,2016,8/4/2025 1:34,dev_shop_001
SYNTHVIN000269,John Smith,-9769,2/1/2022 0:00,63726,steering wheel shakes bad,likely spark plugs,Oil pan gasket replacement,Deferred,Brake pads - Wagner,5.86,Laura Smith,975.59,Toyota,Camry,2014,8/4/2025 1:34,dev_shop_001
SYNTHVIN000270,John Martinez,-10834,11/8/2022 0:00,1731,customer states loud knocking sound,unable to replicate,Cap inspection or replacement,Transmission fluid flush,Brake pads - Wagner,3.16,John Doe,1086.68,Ford,Escape,2016,8/4/2025 1:34,dev_shop_001
SYNTHVIN000270,John Martinez,-10834,11/3/2024 0:00,14130,car won't start after sitting overnight,likely spark plugs,Cap inspection or replacement,Warranty repair - no charge,SP-134A,3.04,Unassigned,938.29,VW,Jetta,2014,8/4/2025 1:34,dev_shop_001
SYNTHVIN000270,John Martinez,-10834,4/11/2022 0:00,26529,battery keeps dying,likely spark plugs,Cap inspection or replacement,Spark plug replacement,,3.71,Mike D.,927.47,Ford,Mustang,2010,8/4/2025 1:34,dev_shop_001
SYNTHVIN000271,James Hodges,-8549,10/29/2024 0:00,1731,steering wheel shakes bad,worn alternator bearings,Oil pan replacement,Spark plug replacement,Oil filter - FRAM PH2,4.21,nan,306.29,Toyota,Camry,2007,8/4/2025 1:34,dev_shop_001
SYNTHVIN000271,James Hodges,-8549,2/11/2025 0:00,14130,customer states loud knocking sound,suspected transmission issue,Oil pan replacement,Transmission fluid flush,,4.14,John Doe,454.93,Jeep,Grand Cherokee,2010,8/4/2025 1:34,dev_shop_001
SYNTHVIN000271,James Hodges,-8549,4/29/2022 0:00,26529,AC not cold enough,bad starter relay,Oil pan replacement,Deferred,Brake pads - Wagner,4.02,Laura Smith,929.66,Ford,Escape,2017,8/4/2025 1:34,dev_shop_001
SYNTHVIN000272,Laura Johnson,-3832,11/7/2023 0:00,1731,engine light randomly comes on,parasitic draw,Tire balancing,Tire balancing,O2-SENSOR-BOSCH,5.92,Unassigned,740.41,Hyundai,Elantra,2008,8/4/2025 1:34,dev_shop_001
SYNTHVIN000272,Laura Johnson,-3832,7/6/2023 0:00,14130,oil leaking in driveway,suspected transmission issue,Tire balancing,Tire balancing,Alternator Duralast,3.24,Laura Smith,270.45,VW,Jetta,2006,8/4/2025 1:34,dev_shop_001
SYNTHVIN000272,Laura Johnson,-3832,12/20/2024 0:00,26529,trans slipping after warm up,suspected transmission issue,Tire balancing,Brake pad replacement,SP-134A,0.24,nan,548.4,Hyundai,Elantra,2017,8/4/2025 1:34,dev_shop_001
SYNTHVIN000273,James Hodges,-8549,10/3/2024 0:00,1731,strange grinding noise,parasitic draw,Brake pad replacement,Transmission fluid flush,SP-134A,1.78,Carlos Garcia,1012.93,Ford,Mustang,2015,8/4/2025 1:34,dev_shop_001
SYNTHVIN000273,James Hodges,-8549,6/30/2022 0:00,14130,oil leaking in driveway,suspected alternator issue,Brake pad replacement,Warranty repair - no charge,,4.69,Laura Smith,363.12,Dodge,Ram 1500,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000274,James Brown,-7910,4/27/2023 0:00,1731,strange grinding noise,suspected alternator issue,Electrical diagnostic and repair,Deferred,,1.89,Mike D.,892.08,Jeep,Grand Cherokee,2005,8/4/2025 1:34,dev_shop_001
SYNTHVIN000274,James Brown,-7910,1/9/2025 0:00,14130,engine light randomly comes on,worn alternator bearings,Electrical diagnostic and repair,Customer declined service,Battery NAPA-65,4.45,nan,177.06,Toyota,Camry,2020,8/4/2025 1:34,dev_shop_001
SYNTHVIN000274,James Brown,-7910,3/13/2023 0:00,26529,customer states loud knocking sound,parasitic draw,Electrical diagnostic and repair,Transmission fluid flush,SP-134A,2.1,John Doe,1057.57,Chevrolet,Silverado,2013,8/4/2025 1:34,dev_shop_001
SYNTHVIN000274,James Brown,-7910,6/9/2023 0:00,38928,car won't start after sitting overnight,parasitic draw,Electrical diagnostic and repair,Transmission fluid flush,Transmission fluid,4.43,Carlos Garcia,461.02,Toyota,Camry,2024,8/4/2025 1:34,dev_shop_001
SYNTHVIN000275,Jane Smith,-5866,1/6/2024 0:00,1731,customer states loud knocking sound,likely spark plugs,Brake pad replacement,Transmission fluid flush,Brake pads - Wagner,0.46,Tina Brown,655.28,Ford,Escape,2011,8/4/2025 1:34,dev_shop_001
SYNTHVIN000275,Jane Smith,-5866,11/9/2022 0:00,14130,check brakes - squeak,bad starter relay,Brake pad replacement,Customer declined service,Oil filter - FRAM PH2,6.25,nan,669.65,Ford,Mustang,2021,8/4/2025 1:34,dev_shop_001
SYNTHVIN000275,Jane Smith,-5866,4/5/2023 0:00,26529,trans slipping after warm up,unable to replicate,Brake pad replacement,Customer declined service,Brake pads - Wagner,1.34,Carlos Garcia,981.08,Hyundai,Elantra,2008,8/4/2025 1:34,dev_shop_001
SYNTHVIN000276,Jane Brown,-3954,11/22/2021 0:00,1731,strange grinding noise,suspected transmission issue,Brake pad replacement,Transmission fluid flush,Transmission fluid,0.77,Laura Smith,993.11,VW,Jetta,2015,8/4/2025 1:34,dev_shop_001
SYNTHVIN000276,Jane Brown,-3954,12/5/2021 0:00,14130,trans slipping after warm up,parasitic draw,Brake pad replacement,Deferred,Battery NAPA-65,4.31,nan,1021.77,Toyota,Camry,2022,8/4/2025 1:34,dev_shop_001
SYNTHVIN000276,Jane Brown,-3954,1/10/2025 0:00,26529,strange grinding noise,bad starter relay,Brake pad replacement,Warranty repair - no charge,SP-134A,0.42,Laura Smith,421.37,Dodge,Ram 1500,2008,8/4/2025 1:34,dev_shop_001
SYNTHVIN000276,Jane Brown,-3954,6/24/2024 0:00,38928,steering wheel shakes bad,likely spark plugs,Brake pad replacement,Electrical diagnostic,,2.74,John Doe,984.15,Toyota,Camry,2022,8/4/2025 1:34,dev_shop_001
SYNTHVIN000277,Carlos Smith,-9200,3/14/2025 0:00,1731,oil leaking in driveway,likely spark plugs,Sensor replacement,Warranty repair - no charge,,3.12,Laura Smith,831.52,Honda,Civic,2012,8/4/2025 1:34,dev_shop_001
SYNTHVIN000277,Carlos Smith,-9200,12/12/2021 0:00,14130,check brakes - squeak,likely spark plugs,Sensor replacement,Electrical diagnostic,SP-134A,3.06,Laura Smith,1014.48,Ford,Mustang,2023,8/4/2025 1:34,dev_shop_001
SYNTHVIN000277,Carlos Smith,-9200,3/8/2023 0:00,26529,oil leaking in driveway,low refrigerant,Sensor replacement,Transmission fluid flush,SP-134A,6.75,Mike D.,39.45,Nissan,Altima,2010,8/4/2025 1:34,dev_shop_001
SYNTHVIN000277,Carlos Smith,-9200,6/4/2022 0:00,38928,oil leaking in driveway,bad starter relay,Sensor replacement,Deferred,Oil filter - FRAM PH2,0.32,Laura Smith,777.67,Ford,Escape,2021,8/4/2025 1:34,dev_shop_001
SYNTHVIN000277,Carlos Smith,-9200,1/11/2025 0:00,51327,steering wheel shakes bad,likely spark plugs,Sensor replacement,Tire balancing,Battery NAPA-65,1.32,Carlos Garcia,142.35,Ford,Escape,2007,8/4/2025 1:34,dev_shop_001
SYNTHVIN000278,James Hodges,-8549,10/24/2024 0:00,1731,trans slipping after warm up,unable to replicate,Battery replacement,Spark plug replacement,SP-134A,3.04,Mike D.,367.13,Ford,Mustang,2018,8/4/2025 1:34,dev_shop_001
SYNTHVIN000278,James Hodges,-8549,10/11/2023 0:00,14130,AC not cold enough,likely spark plugs,Battery replacement,Transmission fluid flush,Alternator Duralast,3.18,nan,419.04,Ford,Mustang,2017,8/4/2025 1:34,dev_shop_001
SYNTHVIN000278,James Hodges,-8549,2/5/2022 0:00,26529,steering wheel shakes bad,worn alternator bearings,Battery replacement,Head gasket replacement,,4.13,Unassigned,852.59,Toyota,Camry,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000278,James Hodges,-8549,6/23/2022 0:00,38928,check brakes - squeak,no fault found,Battery replacement,Customer declined service,,1.91,Mike D.,889.21,Nissan,Altima,2014,8/4/2025 1:34,dev_shop_001
SYNTHVIN000279,John Martinez,-10834,9/3/2021 0:00,1731,check brakes - squeak,unable to replicate,Brake pad replacement,Tire balancing,SP-134A,2.92,Tina Brown,804.94,Chevrolet,Silverado,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000279,John Martinez,-10834,6/9/2023 0:00,14130,AC not cold enough,worn alternator bearings,Brake pad replacement,Customer declined service,O2-SENSOR-BOSCH,4.87,Unassigned,108.46,Toyota,Camry,2006,8/4/2025 1:34,dev_shop_001
SYNTHVIN000279,John Martinez,-10834,12/26/2024 0:00,26529,oil leaking in driveway,suspected transmission issue,Brake pad replacement,Transmission fluid flush,Transmission fluid,3.06,nan,938.67,Hyundai,Elantra,2021,8/4/2025 1:34,dev_shop_001
SYNTHVIN000280,James Hodges,-8549,8/30/2022 0:00,1731,engine light randomly comes on,suspected transmission issue,Brake pad replacement,Deferred,O2-SENSOR-BOSCH,6.22,John Doe,757.57,Nissan,Altima,2008,8/4/2025 1:34,dev_shop_001
SYNTHVIN000280,James Hodges,-8549,3/8/2023 0:00,14130,AC not cold enough,low refrigerant,Brake pad replacement,Brake pad replacement,Brake pads - Wagner,1.25,John Doe,333.29,Honda,Civic,2010,8/4/2025 1:34,dev_shop_001
SYNTHVIN000280,James Hodges,-8549,3/21/2025 0:00,26529,strange grinding noise,O2 sensor fault,Brake pad replacement,Tire balancing,O2-SENSOR-BOSCH,4.52,Mike D.,1042.72,Dodge,Ram 1500,2023,8/4/2025 1:34,dev_shop_001
SYNTHVIN000281,Jane Brown,-3954,12/2/2021 0:00,1731,steering wheel shakes bad,unable to replicate,Rotor machining or replacement,Tire balancing,Brake pads - Wagner,2.96,nan,636.47,Nissan,Altima,2018,8/4/2025 1:34,dev_shop_001
SYNTHVIN000281,Jane Brown,-3954,8/19/2021 0:00,14130,engine light randomly comes on,bad starter relay,Rotor machining or replacement,Deferred,Brake pads - Wagner,4.95,Mike D.,791.6,Toyota,Camry,2020,8/4/2025 1:34,dev_shop_001
SYNTHVIN000281,Jane Brown,-3954,4/18/2023 0:00,26529,AC not cold enough,suspected transmission issue,Rotor machining or replacement,Customer declined service,Alternator Duralast,6.45,John Doe,387.41,Jeep,Grand Cherokee,2022,8/4/2025 1:34,dev_shop_001
SYNTHVIN000282,Carlos Smith,-9200,2/27/2023 0:00,1731,engine light randomly comes on,bad starter relay,Oil pan replacement,Spark plug replacement,Alternator Duralast,4.92,Tina Brown,433.21,Hyundai,Elantra,2017,8/4/2025 1:34,dev_shop_001
SYNTHVIN000282,Carlos Smith,-9200,4/6/2025 0:00,14130,battery keeps dying,low refrigerant,Oil pan replacement,Warranty repair - no charge,Battery NAPA-65,0.21,Carlos Garcia,1082.07,Dodge,Ram 1500,2024,8/4/2025 1:34,dev_shop_001
SYNTHVIN000282,Carlos Smith,-9200,7/14/2022 0:00,26529,steering wheel shakes bad,worn alternator bearings,Oil pan replacement,Customer declined service,Transmission fluid,5.05,nan,64.43,Jeep,Grand Cherokee,2015,8/4/2025 1:34,dev_shop_001
SYNTHVIN000283,John Martinez,-9910,7/4/2023 0:00,1731,battery keeps dying,unable to replicate,AC system recharge,Spark plug replacement,SP-134A,1.75,Tina Brown,1147.04,VW,Jetta,2007,8/4/2025 1:34,dev_shop_001
SYNTHVIN000283,John Martinez,-9910,12/28/2022 0:00,14130,battery keeps dying,no fault found,AC system recharge,Customer declined service,,1.28,Mike D.,818.86,Toyota,Camry,2019,8/4/2025 1:34,dev_shop_001
SYNTHVIN000283,John Martinez,-9910,5/7/2022 0:00,26529,battery keeps dying,worn alternator bearings,AC system recharge,Tire balancing,O2-SENSOR-BOSCH,6.17,Tina Brown,972.85,Jeep,Grand Cherokee,2018,8/4/2025 1:34,dev_shop_001
SYNTHVIN000284,Laura Johnson,-3832,4/22/2025 0:00,1731,car won't start after sitting overnight,bad starter relay,Oil pan gasket replacement,Customer declined service,SP-134A,2.06,Unassigned,1025.27,Nissan,Altima,2012,8/4/2025 1:34,dev_shop_001
SYNTHVIN000284,Laura Johnson,-3832,4/7/2024 0:00,14130,car won't start after sitting overnight,unable to replicate,Oil pan gasket replacement,Brake pad replacement,Oil filter - FRAM PH2,0.42,Unassigned,1099.06,Chevrolet,Silverado,2016,8/4/2025 1:34,dev_shop_001
SYNTHVIN000284,Laura Johnson,-3832,1/8/2024 0:00,26529,strange grinding noise,no fault found,Oil pan gasket replacement,Head gasket replacement,Brake pads - Wagner,6.3,Tina Brown,688.31,VW,Jetta,2020,8/4/2025 1:34,dev_shop_001
SYNTHVIN000285,Carlos Smith,-9200,8/30/2022 0:00,1731,car won't start after sitting overnight,low refrigerant,Electrical diagnostic and repair,Tire balancing,O2-SENSOR-BOSCH,0.43,Laura Smith,121.8,Ford,Escape,2012,8/4/2025 1:34,dev_shop_001
SYNTHVIN000285,Carlos Smith,-9200,5/18/2024 0:00,14130,strange grinding noise,no fault found,Electrical diagnostic and repair,Spark plug replacement,O2-SENSOR-BOSCH,6.43,Mike D.,1095.69,Ford,Mustang,2022,8/4/2025 1:34,dev_shop_001
SYNTHVIN000285,Carlos Smith,-9200,6/23/2025 0:00,26529,car won't start after sitting overnight,O2 sensor fault,Electrical diagnostic and repair,Tire balancing,,5.7,Unassigned,978.8,Honda,Civic,2024,8/4/2025 1:34,dev_shop_001
SYNTHVIN000285,Carlos Smith,-9200,11/9/2024 0:00,38928,check brakes - squeak,O2 sensor fault,Electrical diagnostic and repair,Spark plug replacement,,6.07,John Doe,9.14,Jeep,Grand Cherokee,2012,8/4/2025 1:34,dev_shop_001
SYNTHVIN000286,John Smith,-9769,10/1/2024 0:00,1731,steering wheel shakes bad,no fault found,Oil pan gasket replacement,Deferred,O2-SENSOR-BOSCH,6.28,Carlos Garcia,248.62,Toyota,Camry,2013,8/4/2025 1:34,dev_shop_001
SYNTHVIN000286,John Smith,-9769,9/9/2022 0:00,14130,strange grinding noise,no fault found,Oil pan gasket replacement,Transmission fluid flush,Oil filter - FRAM PH2,3.15,John Doe,1008.01,Toyota,Camry,2016,8/4/2025 1:34,dev_shop_001
SYNTHVIN000287,James Hodges,-8549,1/31/2025 0:00,1731,AC not cold enough,O2 sensor fault,Head gasket replacement,Spark plug replacement,Alternator Duralast,1.7,Unassigned,635.36,Ford,Escape,2017,8/4/2025 1:34,dev_shop_001
SYNTHVIN000287,James Hodges,-8549,5/21/2024 0:00,14130,car won't start after sitting overnight,low refrigerant,Head gasket replacement,Brake pad replacement,SP-134A,3.85,Mike D.,945.42,Dodge,Ram 1500,2010,8/4/2025 1:34,dev_shop_001
SYNTHVIN000288,Jane Davis,-5252,5/4/2024 0:00,1731,check brakes - squeak,unable to replicate,Sensor replacement,Transmission fluid flush,,3.51,Tina Brown,1111.67,Dodge,Ram 1500,2016,8/4/2025 1:34,dev_shop_001
SYNTHVIN000288,Jane Davis,-5252,8/8/2023 0:00,14130,oil leaking in driveway,bad starter relay,Sensor replacement,Deferred,,5.02,Carlos Garcia,419.16,Toyota,Camry,2013,8/4/2025 1:34,dev_shop_001
SYNTHVIN000288,Jane Davis,-5252,7/10/2025 0:00,26529,strange grinding noise,worn alternator bearings,Sensor replacement,Head gasket replacement,SP-134A,1.49,Carlos Garcia,815.69,Chevrolet,Silverado,2011,8/4/2025 1:34,dev_shop_001
SYNTHVIN000288,Jane Davis,-5252,10/1/2024 0:00,38928,battery keeps dying,low refrigerant,Sensor replacement,Customer declined service,Transmission fluid,6.22,Unassigned,225.79,Nissan,Altima,2012,8/4/2025 1:34,dev_shop_001
SYNTHVIN000289,Mike Anderson,-7461,4/30/2023 0:00,1731,car won't start after sitting overnight,O2 sensor fault,Rotor machining or replacement,Transmission fluid flush,Oil filter - FRAM PH2,2.92,Unassigned,864.89,Toyota,Camry,2011,8/4/2025 1:34,dev_shop_001
SYNTHVIN000289,Mike Anderson,-7461,6/4/2022 0:00,14130,customer states loud knocking sound,O2 sensor fault,Rotor machining or replacement,Electrical diagnostic,,0.84,Tina Brown,644.2,Ford,Escape,2023,8/4/2025 1:34,dev_shop_001
SYNTHVIN000289,Mike Anderson,-7461,7/29/2024 0:00,26529,engine light randomly comes on,unable to replicate,Rotor machining or replacement,Deferred,SP-134A,1.43,nan,796.59,Ford,Escape,2022,8/4/2025 1:34,dev_shop_001
SYNTHVIN000290,Jane Davis,-5252,7/23/2024 0:00,1731,battery keeps dying,likely spark plugs,Sensor replacement,Head gasket replacement,SP-134A,0.51,Carlos Garcia,315.96,Nissan,Altima,2020,8/4/2025 1:34,dev_shop_001
SYNTHVIN000290,Jane Davis,-5252,8/23/2024 0:00,14130,check brakes - squeak,likely spark plugs,Sensor replacement,Customer declined service,,4.62,Mike D.,57.78,Honda,Civic,2013,8/4/2025 1:34,dev_shop_001
SYNTHVIN000291,John Smith,-9769,5/3/2025 0:00,1731,steering wheel shakes bad,O2 sensor fault,Oil pan replacement,Deferred,,0.87,Carlos Garcia,100.04,Toyota,Camry,2015,8/4/2025 1:34,dev_shop_001
SYNTHVIN000291,John Smith,-9769,11/22/2021 0:00,14130,battery keeps dying,bad starter relay,Oil pan replacement,Brake pad replacement,Brake pads - Wagner,2.68,Mike D.,605.16,Hyundai,Elantra,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000291,John Smith,-9769,7/1/2025 0:00,26529,car won't start after sitting overnight,O2 sensor fault,Oil pan replacement,Customer declined service,Alternator Duralast,1.51,Carlos Garcia,1158.68,Ford,Mustang,2022,8/4/2025 1:34,dev_shop_001
SYNTHVIN000291,John Smith,-9769,8/20/2024 0:00,38928,battery keeps dying,O2 sensor fault,Oil pan replacement,Deferred,SP-134A,6.5,John Doe,597.79,Nissan,Altima,2020,8/4/2025 1:34,dev_shop_001
SYNTHVIN000291,John Smith,-9769,12/28/2021 0:00,51327,trans slipping after warm up,low refrigerant,Oil pan replacement,Electrical diagnostic,Oil filter - FRAM PH2,3.25,Tina Brown,824.35,Ford,Mustang,2016,8/4/2025 1:34,dev_shop_001
SYNTHVIN000292,John Smith,-9769,3/8/2025 0:00,1731,strange grinding noise,unable to replicate,Oil pan replacement,Warranty repair - no charge,SP-134A,2.72,nan,224.39,Jeep,Grand Cherokee,2011,8/4/2025 1:34,dev_shop_001
SYNTHVIN000292,John Smith,-9769,4/20/2025 0:00,14130,oil leaking in driveway,suspected alternator issue,Oil pan replacement,Electrical diagnostic,Transmission fluid,2.08,Laura Smith,152.97,Chevrolet,Silverado,2020,8/4/2025 1:34,dev_shop_001
SYNTHVIN000292,John Smith,-9769,11/17/2022 0:00,26529,trans slipping after warm up,no fault found,Oil pan replacement,Transmission fluid flush,,1.56,Laura Smith,536.15,Toyota,Camry,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000293,Jane Brown,-3954,6/22/2024 0:00,1731,customer states loud knocking sound,no fault found,Gasket replacement,Customer declined service,,3.49,nan,1133.04,Honda,Civic,2013,8/4/2025 1:34,dev_shop_001
SYNTHVIN000293,Jane Brown,-3954,3/11/2024 0:00,14130,customer states loud knocking sound,O2 sensor fault,Gasket replacement,Transmission fluid flush,Oil filter - FRAM PH2,5.82,Mike D.,707.87,VW,Jetta,2022,8/4/2025 1:34,dev_shop_001
SYNTHVIN000293,Jane Brown,-3954,1/8/2024 0:00,26529,strange grinding noise,worn alternator bearings,Gasket replacement,Deferred,Transmission fluid,6.39,Carlos Garcia,554.03,VW,Jetta,2013,8/4/2025 1:34,dev_shop_001
SYNTHVIN000294,John Smith,-9769,5/19/2025 0:00,1731,engine light randomly comes on,suspected alternator issue,Oil pan gasket replacement,Brake pad replacement,,6.53,Unassigned,1058.84,Honda,Civic,2012,8/4/2025 1:34,dev_shop_001
SYNTHVIN000294,John Smith,-9769,6/16/2023 0:00,14130,strange grinding noise,low refrigerant,Oil pan gasket replacement,Tire balancing,O2-SENSOR-BOSCH,1.83,Tina Brown,343.44,Hyundai,Elantra,2024,8/4/2025 1:34,dev_shop_001
SYNTHVIN000294,John Smith,-9769,4/8/2023 0:00,26529,car won't start after sitting overnight,bad starter relay,Oil pan gasket replacement,Spark plug replacement,SP-134A,5.81,Unassigned,1157.39,Honda,Civic,2006,8/4/2025 1:34,dev_shop_001
SYNTHVIN000294,John Smith,-9769,5/30/2025 0:00,38928,steering wheel shakes bad,unable to replicate,Oil pan gasket replacement,Head gasket replacement,,0.92,Carlos Garcia,269.59,Dodge,Ram 1500,2024,8/4/2025 1:34,dev_shop_001
SYNTHVIN000295,John Smith,-9769,3/17/2022 0:00,1731,oil leaking in driveway,suspected transmission issue,Oil pan gasket replacement,Electrical diagnostic,Oil filter - FRAM PH2,6.03,Tina Brown,86.26,Ford,Mustang,2023,8/4/2025 1:34,dev_shop_001
SYNTHVIN000295,John Smith,-9769,5/8/2022 0:00,14130,battery keeps dying,O2 sensor fault,Oil pan gasket replacement,Transmission fluid flush,Alternator Duralast,5.95,Unassigned,110.36,Nissan,Altima,2020,8/4/2025 1:34,dev_shop_001
SYNTHVIN000295,John Smith,-9769,5/21/2023 0:00,26529,battery keeps dying,unable to replicate,Oil pan gasket replacement,Deferred,Battery NAPA-65,3.9,John Doe,407.83,Jeep,Grand Cherokee,2014,8/4/2025 1:34,dev_shop_001
